,TotalSleepBlock,~F1,Accuracy,AccuracyBlock,Precision,TotalSleep,Recall,SEGTBlock,SESelfBlock,SEInterval,F1,SEMarkers,SEOnlyREST,F1Block,PercentSleep,RecallBlock,SEWholeDF,Specificity,~F1Block,PrecisionBlock,SESelfBlock5Min,PercentSleepBlock,SpecificityBlock,DeltaEndBlock,DeltaStartBlock
resc_oakley,62955.4  +- 39229.3 ,89.7  +- 5.8 ,85.7  +- 6.9 ,83.1  +- 15.0 ,77.9  +- 15.9 ,69701.7  +- 21583.9 ,74.1  +- 15.3 ,65.1  +- 16.7 ,77.9  +- 14.5 ,55.7  +- 17.8 ,74.4  +- 13.4 ,47.8  +- 22.7 ,66.5  +- 12.4 ,65.3  +- 36.7 ,28.9  +- 9.0 ,62.4  +- 38.9 ,28.9  +- 9.0 ,90.5  +- 8.3 ,88.1  +- 10.3 ,81.1  +- 33.3 ,99.0  +- 1.9 ,26.5  +- 16.8 ,96.0  +- 7.9 ,10538 +- 12964,4136 +- 4907
resc_tl_oakley,66353.2  +- 46623.8 ,87.0  +- 8.4 ,83.8  +- 8.9 ,80.9  +- 16.4 ,67.9  +- 15.8 ,100298.1  +- 26435.9 ,92.1  +- 10.8 ,87.6  +- 13.7 ,95.0  +- 10.8 ,76.4  +- 19.5 ,76.8  +- 12.6 ,66.6  +- 27.3 ,88.6  +- 9.4 ,59.4  +- 41.4 ,41.5  +- 10.7 ,60.5  +- 44.2 ,41.5  +- 10.7 ,80.3  +- 12.3 ,86.6  +- 10.8 ,65.7  +- 40.8 ,95.7  +- 10.6 ,27.9  +- 19.7 ,93.1  +- 9.1 ,13407 +- 15468,5221 +- 5526
tl_resc_oakley,70925.6  +- 54505.8 ,80.8  +- 11.1 ,77.9  +- 10.7 ,76.8  +- 16.5 ,59.2  +- 15.1 ,119825.9  +- 29020.1 ,95.7  +- 7.4 ,93.5  +- 9.4 ,96.3  +- 8.5 ,83.6  +- 17.1 ,71.9  +- 12.7 ,73.6  +- 26.0 ,94.3  +- 5.4 ,52.0  +- 42.5 ,49.5  +- 11.4 ,57.4  +- 47.4 ,49.5  +- 11.4 ,70.3  +- 14.6 ,83.1  +- 11.2 ,49.9  +- 40.8 ,79.9  +- 24.3 ,29.9  +- 23.0 ,88.0  +- 12.3 ,16719 +- 16657,7398 +- 6346
oakley_max,167.5  +- 3191.2 ,82.2  +- 5.5 ,70.1  +- 7.5 ,61.7  +- 8.4 ,0.0  +- 0.0 ,167.5  +- 3191.2 ,0.0  +- 0.0 ,0.0  +- 0.0 ,0.3  +- 5.3 ,0.0  +- 0.0 ,0.0  +- 0.0 ,0.0  +- 0.0 ,0.0  +- 0.0 ,0.0  +- 0.0 ,0.1  +- 1.5 ,0.0  +- 0.0 ,0.1  +- 1.5 ,99.9  +- 2.3 ,76.0  +- 6.8 ,0.0  +- 0.0 ,0.3  +- 5.2 ,0.1  +- 1.5 ,99.9  +- 2.5 ,33788 +- 6601,12784 +- 6279
tl_oakley_max,434.4  +- 8277.1 ,82.3  +- 5.3 ,70.3  +- 7.3 ,61.9  +- 8.4 ,0.2  +- 3.7 ,434.4  +- 8277.1 ,0.3  +- 5.2 ,0.3  +- 5.3 ,0.3  +- 5.3 ,0.3  +- 5.2 ,0.2  +- 4.4 ,0.3  +- 5.3 ,0.3  +- 5.2 ,0.2  +- 4.5 ,0.2  +- 2.9 ,0.3  +- 5.2 ,0.2  +- 2.9 ,99.9  +- 1.4 ,76.1  +- 6.7 ,0.2  +- 3.9 ,0.3  +- 5.2 ,0.2  +- 2.9 ,99.9  +- 1.3 ,33720 +- 6813,12693 +- 6190
resc_tl_oakley_max,423.4  +- 8067.2 ,82.3  +- 5.3 ,70.3  +- 7.3 ,61.9  +- 8.4 ,0.2  +- 3.8 ,423.4  +- 8067.2 ,0.3  +- 5.2 ,0.3  +- 5.3 ,0.3  +- 5.3 ,0.3  +- 5.1 ,0.2  +- 4.4 ,0.3  +- 5.3 ,0.3  +- 5.1 ,0.2  +- 4.6 ,0.2  +- 2.9 ,0.3  +- 5.2 ,0.2  +- 2.9 ,99.9  +- 1.3 ,76.1  +- 6.7 ,0.2  +- 4.0 ,0.3  +- 5.2 ,0.2  +- 2.9 ,99.9  +- 1.1 ,33719 +- 6820,12691 +- 6191
kripke,123312.9  +- 47272.9 ,78.8  +- 10.5 ,75.7  +- 10.3 ,80.0  +- 13.4 ,56.5  +- 14.3 ,125118.5  +- 27150.8 ,95.9  +- 5.0 ,90.4  +- 7.5 ,81.9  +- 10.8 ,81.0  +- 15.1 ,70.0  +- 12.1 ,72.4  +- 23.1 ,92.4  +- 4.4 ,73.9  +- 25.7 ,51.6  +- 10.3 ,90.0  +- 28.7 ,51.7  +- 10.3 ,67.4  +- 13.7 ,80.8  +- 15.0 ,64.3  +- 25.3 ,89.7  +- 9.4 ,51.1  +- 18.9 ,73.6  +- 19.3 ,8164 +- 11296,8638 +- 6090
tl_kripke,98790.6  +- 63285.2 ,73.6  +- 13.7 ,71.5  +- 12.1 ,74.8  +- 14.7 ,52.6  +- 14.2 ,139177.4  +- 31199.7 ,98.5  +- 3.2 ,96.4  +- 5.9 ,92.6  +- 9.4 ,86.9  +- 15.2 ,67.4  +- 12.6 ,78.5  +- 24.0 ,97.0  +- 3.0 ,56.8  +- 37.8 ,57.4  +- 11.7 ,69.8  +- 45.3 ,57.4  +- 11.7 ,60.3  +- 16.1 ,78.7  +- 13.7 ,49.2  +- 33.8 ,79.4  +- 21.7 ,41.2  +- 26.1 ,77.1  +- 19.0 ,14506 +- 16482,10529 +- 6182
resc_kripke,68811.3  +- 48228.5 ,88.3  +- 6.8 ,84.8  +- 7.7 ,80.3  +- 16.6 ,71.0  +- 15.8 ,89563.6  +- 23356.1 ,86.5  +- 10.5 ,78.5  +- 13.6 ,84.9  +- 14.1 ,67.3  +- 17.5 ,76.8  +- 11.6 ,58.6  +- 24.3 ,79.0  +- 9.7 ,58.8  +- 41.8 ,37.1  +- 9.5 ,60.9  +- 44.5 ,37.1  +- 9.5 ,84.2  +- 10.5 ,86.0  +- 11.4 ,63.3  +- 40.9 ,96.8  +- 6.0 ,28.9  +- 20.3 ,91.9  +- 11.1 ,13184 +- 14989,5328 +- 5335
resc_tl_kripke,80447.9  +- 54587.7 ,82.6  +- 10.2 ,79.6  +- 10.2 ,77.9  +- 16.3 ,61.4  +- 15.3 ,115447.1  +- 27804.2 ,95.7  +- 6.2 ,91.8  +- 9.7 ,93.0  +- 10.2 ,80.4  +- 17.7 ,73.6  +- 12.2 ,71.3  +- 26.2 ,92.1  +- 6.8 ,57.5  +- 40.8 ,47.7  +- 10.8 ,64.6  +- 45.9 ,47.7  +- 10.8 ,72.9  +- 13.9 ,83.4  +- 11.6 ,54.1  +- 38.8 ,91.9  +- 13.0 ,33.4  +- 22.7 ,86.2  +- 13.7 ,13684 +- 16077,7598 +- 5818
tl_resc_kripke,105684.6  +- 62959.2 ,70.1  +- 15.1 ,68.7  +- 12.7 ,74.5  +- 14.8 ,50.2  +- 13.9 ,146249.9  +- 32604.9 ,98.7  +- 2.9 ,97.4  +- 5.1 ,94.7  +- 7.4 ,88.4  +- 14.5 ,65.4  +- 12.6 ,80.4  +- 23.4 ,97.3  +- 2.8 ,58.9  +- 36.0 ,60.3  +- 12.1 ,73.3  +- 43.5 ,60.3  +- 12.1 ,56.2  +- 16.8 ,77.7  +- 14.5 ,50.6  +- 32.2 ,77.1  +- 23.5 ,43.9  +- 25.7 ,74.7  +- 19.6 ,13939 +- 15463,10348 +- 6197
kripke_max,234.2  +- 4461.3 ,82.3  +- 5.3 ,70.3  +- 7.4 ,61.9  +- 8.4 ,0.2  +- 4.4 ,234.2  +- 4461.3 ,0.2  +- 4.0 ,0.2  +- 4.0 ,0.3  +- 5.3 ,0.2  +- 4.1 ,0.2  +- 4.2 ,0.2  +- 4.1 ,0.2  +- 4.1 ,0.2  +- 4.3 ,0.1  +- 1.9 ,0.2  +- 4.0 ,0.1  +- 1.9 ,100.0  +- 0.5 ,76.1  +- 6.7 ,0.2  +- 4.6 ,0.3  +- 5.2 ,0.1  +- 1.9 ,100.0  +- 0.4 ,33728 +- 6779,12702 +- 6208
tl_kripke_max,435.0  +- 8287.6 ,82.3  +- 5.3 ,70.3  +- 7.3 ,61.9  +- 8.4 ,0.2  +- 3.7 ,435.0  +- 8287.6 ,0.3  +- 5.2 ,0.3  +- 5.3 ,0.3  +- 5.3 ,0.3  +- 5.2 ,0.2  +- 4.4 ,0.3  +- 5.3 ,0.3  +- 5.2 ,0.2  +- 4.5 ,0.2  +- 2.9 ,0.3  +- 5.2 ,0.2  +- 2.9 ,99.9  +- 1.4 ,76.1  +- 6.7 ,0.2  +- 3.9 ,0.3  +- 5.2 ,0.2  +- 2.9 ,99.9  +- 1.3 ,33720 +- 6813,12693 +- 6190
resc_tl_kripke_max,424.0  +- 8077.7 ,82.3  +- 5.3 ,70.3  +- 7.3 ,61.9  +- 8.4 ,0.2  +- 3.8 ,424.0  +- 8077.7 ,0.3  +- 5.2 ,0.3  +- 5.3 ,0.3  +- 5.3 ,0.3  +- 5.1 ,0.2  +- 4.4 ,0.3  +- 5.3 ,0.3  +- 5.1 ,0.2  +- 4.6 ,0.2  +- 2.9 ,0.3  +- 5.2 ,0.2  +- 2.9 ,99.9  +- 1.3 ,76.1  +- 6.7 ,0.2  +- 4.0 ,0.3  +- 5.2 ,0.2  +- 2.9 ,99.9  +- 1.1 ,33719 +- 6820,12691 +- 6191
webster,148906.9  +- 52829.6 ,70.0  +- 12.9 ,68.2  +- 11.4 ,72.1  +- 16.1 ,49.4  +- 13.1 ,146782.4  +- 29844.3 ,98.2  +- 3.1 ,94.4  +- 5.4 ,82.4  +- 10.0 ,86.0  +- 13.4 ,64.7  +- 12.0 ,78.7  +- 21.1 ,95.8  +- 2.9 ,70.3  +- 21.4 ,60.5  +- 10.7 ,93.8  +- 23.5 ,60.5  +- 10.7 ,55.8  +- 14.8 ,68.7  +- 23.7 ,57.8  +- 21.2 ,82.6  +- 12.4 ,61.4  +- 20.8 ,58.8  +- 25.7 ,11508 +- 12173,10564 +- 6031
tl_webster,127736.9  +- 59784.2 ,61.3  +- 17.1 ,62.1  +- 13.4 ,73.0  +- 14.1 ,45.3  +- 12.9 ,163700.3  +- 34515.6 ,99.6  +- 1.7 ,98.5  +- 3.6 ,93.7  +- 7.9 ,90.8  +- 13.0 ,61.1  +- 12.3 ,84.3  +- 21.0 ,98.9  +- 1.5 ,64.0  +- 29.8 ,67.4  +- 12.3 ,83.7  +- 36.6 ,67.5  +- 12.4 ,46.4  +- 17.5 ,73.2  +- 18.1 ,53.0  +- 26.6 ,78.8  +- 19.3 ,53.0  +- 24.5 ,66.0  +- 22.4 ,11995 +- 13975,11677 +- 5926
resc_webster,90418.7  +- 51229.6 ,84.0  +- 9.2 ,80.7  +- 9.6 ,80.6  +- 15.5 ,63.2  +- 15.7 ,109220.4  +- 26439.8 ,93.3  +- 6.5 ,87.0  +- 10.1 ,86.2  +- 11.9 ,75.7  +- 16.8 ,74.1  +- 12.1 ,67.1  +- 24.2 ,87.2  +- 7.2 ,65.0  +- 37.7 ,45.1  +- 10.2 ,73.3  +- 42.1 ,45.1  +- 10.2 ,75.6  +- 13.1 ,84.8  +- 11.5 ,60.9  +- 35.8 ,93.3  +- 10.3 ,37.6  +- 21.3 ,85.1  +- 14.3 ,10709 +- 14682,7376 +- 5955
resc_tl_webster,103311.8  +- 56689.4 ,73.0  +- 14.3 ,71.1  +- 12.6 ,76.8  +- 15.1 ,52.4  +- 14.7 ,140292.3  +- 32583.7 ,98.5  +- 3.1 ,96.5  +- 6.0 ,93.6  +- 10.6 ,86.3  +- 15.8 ,67.2  +- 12.8 ,78.5  +- 24.1 ,96.6  +- 3.9 ,62.5  +- 35.6 ,57.8  +- 12.1 ,75.5  +- 41.9 ,57.9  +- 12.1 ,59.7  +- 16.8 ,80.3  +- 13.4 ,54.8  +- 32.8 ,85.5  +- 17.7 ,42.8  +- 23.2 ,77.6  +- 17.4 ,11572 +- 15093,9856 +- 6100
tl_resc_webster,132630.6  +- 60136.1 ,57.3  +- 18.2 ,59.3  +- 13.6 ,71.9  +- 14.3 ,43.4  +- 12.4 ,170486.8  +- 35164.2 ,99.6  +- 1.6 ,98.9  +- 3.1 ,95.2  +- 6.1 ,91.9  +- 12.3 ,59.4  +- 12.1 ,85.9  +- 20.0 ,98.9  +- 1.6 ,64.0  +- 28.8 ,70.2  +- 12.5 ,84.8  +- 35.6 ,70.3  +- 12.5 ,42.4  +- 17.7 ,71.4  +- 19.0 ,52.6  +- 25.7 ,76.8  +- 19.9 ,55.1  +- 24.5 ,63.5  +- 23.1 ,12789 +- 13562,11531 +- 5942
webster_max,341.0  +- 6497.8 ,82.3  +- 5.3 ,70.3  +- 7.4 ,61.9  +- 8.4 ,0.2  +- 3.9 ,341.0  +- 6497.8 ,0.3  +- 5.2 ,0.3  +- 5.3 ,0.3  +- 5.3 ,0.3  +- 5.3 ,0.2  +- 4.5 ,0.3  +- 5.3 ,0.3  +- 5.3 ,0.2  +- 4.6 ,0.1  +- 2.8 ,0.3  +- 5.2 ,0.1  +- 2.8 ,99.9  +- 1.2 ,76.1  +- 6.7 ,0.2  +- 4.1 ,0.3  +- 5.0 ,0.1  +- 2.8 ,99.9  +- 1.0 ,33728 +- 6779,12696 +- 6215
tl_webster_max,573.0  +- 9827.4 ,82.2  +- 5.5 ,70.1  +- 7.3 ,61.8  +- 8.3 ,0.1  +- 2.0 ,600.0  +- 9899.6 ,0.3  +- 5.2 ,0.3  +- 5.3 ,0.6  +- 7.4 ,0.2  +- 3.5 ,0.2  +- 2.9 ,0.2  +- 3.2 ,0.3  +- 3.9 ,0.2  +- 3.3 ,0.2  +- 3.8 ,0.3  +- 5.2 ,0.2  +- 3.8 ,99.8  +- 3.2 ,76.0  +- 6.7 ,0.1  +- 2.4 ,0.5  +- 7.1 ,0.2  +- 3.7 ,99.8  +- 3.0 ,33726 +- 6659,12805 +- 6518
resc_tl_webster_max,562.0  +- 9730.2 ,82.2  +- 5.4 ,70.2  +- 7.3 ,61.8  +- 8.3 ,0.1  +- 2.1 ,589.0  +- 9796.5 ,0.3  +- 5.2 ,0.3  +- 5.3 ,0.6  +- 7.4 ,0.2  +- 3.5 ,0.2  +- 3.0 ,0.2  +- 3.1 ,0.2  +- 3.8 ,0.2  +- 3.3 ,0.2  +- 3.7 ,0.3  +- 5.2 ,0.2  +- 3.7 ,99.8  +- 3.2 ,76.0  +- 6.7 ,0.1  +- 2.5 ,0.5  +- 7.2 ,0.2  +- 3.7 ,99.8  +- 3.0 ,33725 +- 6662,12807 +- 6530
ExtraTrees,68529.2  +- 43867.3 ,89.6  +- 6.6 ,86.2  +- 7.8 ,83.1  +- 16.0 ,74.3  +- 16.1 ,82620.4  +- 23652.2 ,83.9  +- 15.4 ,74.7  +- 17.4 ,82.7  +- 15.1 ,65.3  +- 19.4 ,77.4  +- 13.9 ,56.0  +- 25.2 ,77.9  +- 12.4 ,64.2  +- 40.0 ,34.2  +- 9.8 ,64.5  +- 42.3 ,34.2  +- 9.8 ,87.1  +- 9.7 ,88.0  +- 11.1 ,72.3  +- 38.4 ,98.2  +- 3.2 ,28.7  +- 18.6 ,94.1  +- 9.3 ,11593 +- 14416,4510 +- 5562
tl_ExtraTrees,56790.4  +- 47428.5 ,88.0  +- 7.3 ,84.6  +- 8.2 ,78.1  +- 17.3 ,69.9  +- 15.6 ,91050.7  +- 24746.9 ,86.9  +- 14.5 ,80.6  +- 16.8 ,92.0  +- 13.0 ,70.9  +- 19.9 ,76.2  +- 13.5 ,61.0  +- 26.5 ,83.6  +- 11.6 ,51.5  +- 43.3 ,37.7  +- 10.2 ,52.1  +- 45.6 ,37.7  +- 10.2 ,83.5  +- 10.6 ,84.9  +- 11.6 ,59.6  +- 43.7 ,94.8  +- 11.9 ,24.0  +- 20.2 ,93.9  +- 9.6 ,16514 +- 16153,5451 +- 6034
resc_ExtraTrees,43758.7  +- 36031.1 ,89.4  +- 5.9 ,84.7  +- 7.7 ,77.4  +- 15.3 ,81.1  +- 17.7 ,57672.5  +- 24098.1 ,63.6  +- 21.5 ,55.6  +- 21.6 ,83.3  +- 19.4 ,47.0  +- 20.5 ,68.8  +- 18.7 ,40.8  +- 23.4 ,55.9  +- 18.1 ,50.8  +- 36.8 ,23.9  +- 10.1 ,44.4  +- 37.5 ,23.9  +- 10.1 ,93.3  +- 7.5 ,84.7  +- 10.2 ,85.0  +- 32.2 ,98.6  +- 9.3 ,18.3  +- 15.2 ,97.9  +- 5.6 ,13692 +- 12015,4552 +- 6097
resc_tl_ExtraTrees,52363.1  +- 37853.7 ,89.9  +- 6.1 ,85.9  +- 7.7 ,80.3  +- 15.3 ,77.6  +- 16.5 ,69959.0  +- 24892.0 ,74.2  +- 20.3 ,66.3  +- 21.4 ,88.2  +- 15.4 ,56.7  +- 21.5 ,73.8  +- 17.0 ,49.0  +- 25.7 ,67.6  +- 17.2 ,57.4  +- 38.2 ,29.0  +- 10.5 ,52.6  +- 39.3 ,29.0  +- 10.5 ,90.5  +- 8.5 ,86.6  +- 10.0 ,81.0  +- 35.0 ,99.0  +- 5.6 ,21.9  +- 15.9 ,97.4  +- 4.7 ,12171 +- 12857,4620 +- 5854
tl_resc_ExtraTrees,60868.9  +- 48133.8 ,86.4  +- 8.0 ,82.9  +- 8.5 ,78.3  +- 16.9 ,66.6  +- 15.3 ,97362.3  +- 25493.6 ,88.4  +- 13.5 ,83.8  +- 15.8 ,93.5  +- 11.0 ,74.0  +- 19.5 ,74.7  +- 13.3 ,64.0  +- 26.7 ,85.8  +- 10.7 ,53.3  +- 42.5 ,40.3  +- 10.5 ,54.5  +- 45.3 ,40.3  +- 10.5 ,80.4  +- 11.4 ,84.9  +- 11.4 ,59.9  +- 42.7 ,89.4  +- 18.2 ,25.6  +- 20.4 ,92.8  +- 10.0 ,16007 +- 15826,5512 +- 5973
ExtraTrees_max,283.2  +- 5395.6 ,82.3  +- 5.3 ,70.3  +- 7.4 ,61.9  +- 8.5 ,0.2  +- 4.1 ,283.2  +- 5395.6 ,0.3  +- 5.2 ,0.3  +- 5.2 ,0.3  +- 5.3 ,0.2  +- 4.4 ,0.2  +- 4.6 ,0.3  +- 4.9 ,0.2  +- 4.4 ,0.3  +- 5.0 ,0.1  +- 2.2 ,0.3  +- 5.2 ,0.1  +- 2.2 ,100.0  +- 0.7 ,76.1  +- 6.8 ,0.2  +- 4.7 ,0.3  +- 5.2 ,0.1  +- 2.2 ,100.0  +- 0.3 ,33704 +- 6827,12694 +- 6221
tl_ExtraTrees_max,298.3  +- 5684.3 ,82.3  +- 5.3 ,70.3  +- 7.4 ,61.9  +- 8.5 ,0.2  +- 4.4 ,298.3  +- 5684.3 ,0.3  +- 5.2 ,0.3  +- 5.0 ,0.3  +- 5.3 ,0.2  +- 4.2 ,0.3  +- 4.8 ,0.3  +- 4.9 ,0.2  +- 4.6 ,0.3  +- 5.0 ,0.1  +- 2.3 ,0.3  +- 5.0 ,0.1  +- 2.3 ,100.0  +- 0.6 ,76.1  +- 6.8 ,0.3  +- 4.9 ,0.3  +- 5.2 ,0.1  +- 2.3 ,100.0  +- 0.3 ,33721 +- 6806,12685 +- 6225
resc_tl_ExtraTrees_max,287.3  +- 5474.3 ,82.3  +- 5.4 ,70.3  +- 7.4 ,61.9  +- 8.5 ,0.2  +- 4.5 ,287.3  +- 5474.3 ,0.3  +- 5.2 ,0.3  +- 4.9 ,0.3  +- 5.3 ,0.2  +- 4.0 ,0.3  +- 4.8 ,0.2  +- 4.7 ,0.2  +- 4.4 ,0.3  +- 5.0 ,0.1  +- 2.2 ,0.3  +- 4.9 ,0.1  +- 2.2 ,100.0  +- 0.5 ,76.1  +- 6.8 ,0.3  +- 5.0 ,0.3  +- 5.2 ,0.1  +- 2.2 ,100.0  +- 0.2 ,33722 +- 6800,12683 +- 6228
SGD_perceptron,97521.2  +- 49015.9 ,83.2  +- 8.1 ,79.2  +- 8.4 ,81.9  +- 15.0 ,61.8  +- 14.9 ,102779.3  +- 24191.1 ,86.2  +- 8.1 ,81.5  +- 10.3 ,77.6  +- 13.8 ,72.7  +- 16.1 ,70.8  +- 11.4 ,63.8  +- 23.4 ,84.3  +- 7.0 ,69.2  +- 35.1 ,42.5  +- 9.5 ,78.1  +- 39.1 ,42.5  +- 9.5 ,76.3  +- 11.7 ,85.2  +- 12.1 ,64.5  +- 34.0 ,94.0  +- 7.0 ,40.6  +- 20.2 ,83.7  +- 15.4 ,10029 +- 13303,6619 +- 6275
tl_SGD_perceptron,69434.7  +- 58713.3 ,81.6  +- 10.5 ,78.6  +- 10.2 ,74.5  +- 16.3 ,60.1  +- 14.9 ,117864.5  +- 28141.9 ,95.7  +- 7.6 ,92.4  +- 10.4 ,92.5  +- 12.3 ,82.4  +- 17.4 ,72.5  +- 12.3 ,72.6  +- 26.0 ,93.9  +- 6.7 ,47.2  +- 42.7 ,48.7  +- 11.1 ,53.5  +- 48.4 ,48.7  +- 11.1 ,71.4  +- 14.0 ,81.4  +- 11.2 ,44.4  +- 40.4 ,82.3  +- 23.0 ,29.1  +- 24.7 ,86.7  +- 14.0 ,18256 +- 17249,8624 +- 6615
resc_SGD_perceptron,62187.9  +- 42600.9 ,87.9  +- 5.8 ,83.4  +- 6.8 ,82.1  +- 16.1 ,73.8  +- 15.9 ,71111.3  +- 21415.7 ,71.2  +- 13.3 ,64.9  +- 14.9 ,79.0  +- 14.8 ,56.1  +- 17.7 ,70.9  +- 12.4 ,48.4  +- 22.3 ,66.3  +- 12.0 ,61.2  +- 40.4 ,29.4  +- 8.8 ,59.9  +- 42.4 ,29.4  +- 8.8 ,88.5  +- 8.7 ,87.6  +- 10.8 ,74.0  +- 38.3 ,98.7  +- 2.7 ,26.1  +- 18.1 ,95.5  +- 7.5 ,11723 +- 14056,4583 +- 5335
resc_tl_SGD_perceptron,65653.2  +- 47796.7 ,87.1  +- 7.9 ,83.8  +- 8.5 ,80.1  +- 16.7 ,68.0  +- 15.4 ,98305.2  +- 25406.8 ,90.8  +- 11.4 ,85.9  +- 14.3 ,94.0  +- 11.1 ,74.9  +- 19.8 ,76.4  +- 12.3 ,65.1  +- 26.9 ,87.1  +- 10.5 ,57.1  +- 42.2 ,40.7  +- 10.3 ,58.7  +- 45.0 ,40.7  +- 10.3 ,80.8  +- 11.6 ,86.0  +- 11.4 ,62.7  +- 41.8 ,97.0  +- 6.6 ,27.6  +- 20.2 ,92.6  +- 9.9 ,14172 +- 15528,5444 +- 5803
tl_resc_SGD_perceptron,76254.0  +- 58625.0 ,79.2  +- 11.5 ,76.3  +- 10.7 ,74.9  +- 16.1 ,57.5  +- 14.6 ,123562.3  +- 29387.3 ,95.9  +- 7.3 ,93.6  +- 9.7 ,94.1  +- 9.7 ,83.7  +- 16.7 ,70.6  +- 12.3 ,74.4  +- 25.6 ,94.0  +- 6.4 ,50.4  +- 41.8 ,51.0  +- 11.5 ,57.9  +- 47.9 ,51.1  +- 11.5 ,68.2  +- 14.8 ,81.2  +- 11.4 ,46.8  +- 39.2 ,79.9  +- 23.5 ,31.9  +- 24.5 ,84.8  +- 14.4 ,17008 +- 16608,8468 +- 6562
SGD_perceptron_max,183.2  +- 3490.3 ,82.2  +- 5.3 ,70.2  +- 7.3 ,61.8  +- 8.2 ,0.0  +- 0.0 ,184.0  +- 3490.3 ,0.0  +- 0.0 ,0.0  +- 0.0 ,0.3  +- 5.3 ,0.0  +- 0.0 ,0.0  +- 0.0 ,0.0  +- 0.0 ,0.0  +- 0.0 ,0.0  +- 0.0 ,0.1  +- 1.1 ,0.0  +- 0.0 ,0.1  +- 1.1 ,99.9  +- 1.3 ,76.0  +- 6.6 ,0.0  +- 0.0 ,0.3  +- 5.2 ,0.1  +- 1.1 ,99.9  +- 1.3 ,33758 +- 6559,12717 +- 6201
tl_SGD_perceptron_max,434.4  +- 8277.1 ,82.3  +- 5.3 ,70.3  +- 7.3 ,61.9  +- 8.4 ,0.2  +- 3.7 ,434.4  +- 8277.1 ,0.3  +- 5.2 ,0.3  +- 5.3 ,0.3  +- 5.3 ,0.3  +- 5.2 ,0.2  +- 4.4 ,0.3  +- 5.3 ,0.3  +- 5.2 ,0.2  +- 4.5 ,0.2  +- 2.9 ,0.3  +- 5.2 ,0.2  +- 2.9 ,99.9  +- 1.4 ,76.1  +- 6.7 ,0.2  +- 3.9 ,0.3  +- 5.2 ,0.2  +- 2.9 ,99.9  +- 1.3 ,33720 +- 6811,12693 +- 6190
resc_tl_SGD_perceptron_max,423.4  +- 8067.2 ,82.3  +- 5.3 ,70.3  +- 7.3 ,61.9  +- 8.4 ,0.2  +- 3.8 ,423.4  +- 8067.2 ,0.3  +- 5.2 ,0.3  +- 5.3 ,0.3  +- 5.3 ,0.3  +- 5.1 ,0.2  +- 4.4 ,0.3  +- 5.3 ,0.3  +- 5.1 ,0.2  +- 4.6 ,0.2  +- 2.9 ,0.3  +- 5.2 ,0.2  +- 2.9 ,99.9  +- 1.3 ,76.1  +- 6.7 ,0.2  +- 4.0 ,0.3  +- 5.2 ,0.2  +- 2.9 ,99.9  +- 1.1 ,33719 +- 6817,12691 +- 6191
SGD_log,80459.8  +- 51763.6 ,86.0  +- 8.6 ,82.9  +- 9.1 ,80.3  +- 16.7 ,65.9  +- 15.3 ,105574.7  +- 25685.3 ,94.5  +- 9.6 ,88.1  +- 12.7 ,86.2  +- 14.7 ,78.0  +- 18.4 ,76.3  +- 12.3 ,67.8  +- 26.3 ,91.6  +- 8.4 ,61.3  +- 40.7 ,43.7  +- 10.3 ,67.2  +- 44.8 ,43.7  +- 10.3 ,78.1  +- 12.3 ,85.3  +- 12.1 ,60.0  +- 39.4 ,95.8  +- 7.3 ,33.8  +- 21.8 ,87.9  +- 13.7 ,12813 +- 15545,6436 +- 6248
tl_SGD_log,60178.5  +- 55927.0 ,83.8  +- 9.8 ,80.7  +- 9.8 ,73.8  +- 16.7 ,62.8  +- 15.2 ,112060.9  +- 27007.5 ,95.3  +- 8.3 ,91.2  +- 11.2 ,93.0  +- 13.4 ,81.0  +- 17.9 ,74.4  +- 12.3 ,70.9  +- 26.5 ,93.5  +- 7.0 ,43.5  +- 43.1 ,46.3  +- 10.7 ,48.0  +- 48.0 ,46.3  +- 10.8 ,74.7  +- 13.4 ,81.6  +- 11.3 ,42.8  +- 41.8 ,83.3  +- 23.4 ,25.3  +- 23.6 ,89.4  +- 12.7 ,20031 +- 17420,8304 +- 6649
resc_SGD_log,61205.2  +- 42000.9 ,89.9  +- 6.6 ,86.6  +- 7.8 ,82.0  +- 16.2 ,75.0  +- 15.8 ,83855.6  +- 24619.3 ,85.5  +- 15.3 ,77.7  +- 18.1 ,90.6  +- 12.5 ,66.7  +- 20.8 ,78.2  +- 13.6 ,57.7  +- 26.7 ,79.2  +- 13.7 ,60.9  +- 40.4 ,34.7  +- 10.2 ,59.3  +- 42.3 ,34.7  +- 10.2 ,87.1  +- 9.9 ,87.5  +- 11.0 ,73.1  +- 39.4 ,99.0  +- 1.9 ,25.8  +- 18.0 ,95.6  +- 8.0 ,12337 +- 14545,4523 +- 5508
