,TotalSleepBlock,~F1,Accuracy,AccuracyBlock,Precision,TotalSleep,Recall,SEGTBlock,SESelfBlock,SEInterval,F1,SEMarkers,SEOnlyREST,F1Block,PercentSleep,RecallBlock,SEWholeDF,Specificity,~F1Block,PrecisionBlock,SESelfBlock5Min,PercentSleepBlock,SpecificityBlock,DeltaEndBlock,DeltaStartBlock
resc_tl_cole,93144.1  +- 55273.9 ,78.4  +- 12.3 ,75.8  +- 11.7 ,78.2  +- 15.8 ,57.0  +- 15.3 ,127933.6  +- 30766.6 ,97.8  +- 3.9 ,95.0  +- 7.6 ,94.0  +- 9.3 ,84.1  +- 16.8 ,70.8  +- 12.8 ,75.4  +- 25.4 ,95.2  +- 4.9 ,61.7  +- 38.2 ,52.8  +- 11.6 ,71.7  +- 43.8 ,52.8  +- 11.6 ,66.6  +- 15.7 ,82.6  +- 12.2 ,55.9  +- 35.8 ,88.9  +- 15.0 ,38.6  +- 22.7 ,82.2  +- 15.5 ,11963 +- 15392,8570 +- 6022
tl_resc_cole,117420.1  +- 62398.4 ,65.4  +- 16.7 ,65.2  +- 13.4 ,73.5  +- 14.6 ,47.5  +- 13.6 ,155860.1  +- 34360.1 ,99.3  +- 2.1 ,98.3  +- 4.3 ,94.8  +- 7.7 ,90.1  +- 13.6 ,63.1  +- 12.6 ,82.7  +- 22.2 ,98.2  +- 2.0 ,61.4  +- 33.0 ,64.2  +- 12.6 ,78.7  +- 40.4 ,64.3  +- 12.6 ,50.9  +- 17.7 ,75.3  +- 16.3 ,51.6  +- 29.3 ,77.0  +- 22.1 ,48.7  +- 25.3 ,70.1  +- 21.1 ,13219 +- 14524,10751 +- 6017
cole_max,234.2  +- 4461.3 ,82.3  +- 5.3 ,70.3  +- 7.4 ,61.9  +- 8.4 ,0.2  +- 4.4 ,234.2  +- 4461.3 ,0.2  +- 4.0 ,0.2  +- 4.0 ,0.3  +- 5.3 ,0.2  +- 4.1 ,0.2  +- 4.2 ,0.2  +- 4.1 ,0.2  +- 4.1 ,0.2  +- 4.3 ,0.1  +- 1.9 ,0.2  +- 4.0 ,0.1  +- 1.9 ,100.0  +- 0.5 ,76.1  +- 6.7 ,0.2  +- 4.6 ,0.3  +- 5.2 ,0.1  +- 1.9 ,100.0  +- 0.4 ,33728 +- 6780,12702 +- 6208
tl_cole_max,563.9  +- 9669.2 ,82.2  +- 5.4 ,70.2  +- 7.3 ,61.8  +- 8.3 ,0.1  +- 2.1 ,590.9  +- 9741.8 ,0.3  +- 5.2 ,0.3  +- 5.3 ,0.6  +- 7.4 ,0.2  +- 3.4 ,0.2  +- 3.0 ,0.2  +- 3.1 ,0.3  +- 3.8 ,0.2  +- 3.4 ,0.2  +- 3.7 ,0.3  +- 5.2 ,0.2  +- 3.7 ,99.8  +- 3.1 ,76.0  +- 6.7 ,0.1  +- 2.5 ,0.5  +- 7.2 ,0.2  +- 3.7 ,99.8  +- 2.9 ,33724 +- 6666,12805 +- 6519
resc_tl_cole_max,552.9  +- 9572.0 ,82.2  +- 5.4 ,70.2  +- 7.3 ,61.8  +- 8.3 ,0.1  +- 2.1 ,579.9  +- 9638.6 ,0.3  +- 5.2 ,0.3  +- 5.3 ,0.6  +- 7.4 ,0.2  +- 3.4 ,0.2  +- 3.0 ,0.2  +- 3.0 ,0.2  +- 3.8 ,0.2  +- 3.4 ,0.2  +- 3.7 ,0.3  +- 5.2 ,0.2  +- 3.7 ,99.8  +- 3.1 ,76.0  +- 6.7 ,0.1  +- 2.5 ,0.5  +- 7.2 ,0.2  +- 3.6 ,99.8  +- 2.9 ,33722 +- 6669,12807 +- 6531
aarti,96626.4  +- 39355.9 ,81.8  +- 12.7 ,79.0  +- 12.1 ,85.9  +- 13.6 ,60.7  +- 17.8 ,115158.4  +- 32750.5 ,94.7  +- 13.2 ,92.9  +- 14.5 ,98.4  +- 10.6 ,82.8  +- 19.7 ,72.6  +- 15.8 ,72.7  +- 27.3 ,92.7  +- 12.0 ,77.5  +- 29.0 ,47.7  +- 13.3 ,83.7  +- 31.4 ,47.7  +- 13.4 ,72.6  +- 16.6 ,88.3  +- 11.4 ,75.0  +- 28.6 ,88.5  +- 15.5 ,40.3  +- 16.6 ,87.1  +- 14.0 ,7451 +- 10591,4494 +- 5201
tl_aarti,87887.6  +- 47499.6 ,80.8  +- 13.0 ,77.9  +- 12.1 ,83.0  +- 14.3 ,59.3  +- 17.3 ,116897.5  +- 32984.7 ,94.0  +- 13.3 ,92.5  +- 14.5 ,98.9  +- 11.0 ,82.6  +- 19.3 ,71.3  +- 15.6 ,72.9  +- 26.8 ,91.7  +- 12.1 ,68.8  +- 35.8 ,48.4  +- 13.4 ,74.6  +- 39.0 ,48.4  +- 13.4 ,71.2  +- 16.6 ,86.5  +- 11.2 ,66.0  +- 34.9 ,83.5  +- 22.3 ,36.7  +- 20.1 ,87.4  +- 13.8 ,11317 +- 14075,5547 +- 5956
resc_aarti,89749.6  +- 37487.1 ,83.7  +- 11.4 ,80.6  +- 11.3 ,86.4  +- 13.6 ,63.0  +- 18.1 ,108260.6  +- 31273.0 ,92.6  +- 13.6 ,90.7  +- 15.0 ,98.6  +- 10.7 ,79.7  +- 20.3 ,73.6  +- 15.7 ,70.3  +- 27.6 ,89.6  +- 12.5 ,77.2  +- 29.7 ,44.8  +- 12.8 ,80.8  +- 31.8 ,44.8  +- 12.8 ,75.8  +- 15.5 ,89.2  +- 10.6 ,77.2  +- 29.5 ,91.1  +- 14.1 ,37.4  +- 15.8 ,89.9  +- 12.2 ,7098 +- 10976,4534 +- 4882
resc_tl_aarti,92491.5  +- 38880.9 ,82.7  +- 11.7 ,79.5  +- 11.4 ,85.6  +- 13.4 ,61.5  +- 17.7 ,110022.3  +- 31587.0 ,91.9  +- 13.8 ,90.3  +- 15.0 ,98.5  +- 10.7 ,79.6  +- 19.8 ,72.3  +- 15.6 ,70.5  +- 27.2 ,88.7  +- 12.6 ,76.7  +- 28.9 ,45.5  +- 12.9 ,81.2  +- 31.1 ,45.6  +- 12.9 ,74.4  +- 15.6 ,88.3  +- 11.0 ,76.1  +- 28.5 ,87.7  +- 17.3 ,38.5  +- 16.2 ,88.3  +- 13.4 ,7465 +- 10543,4587 +- 4780
tl_resc_aarti,87030.9  +- 48880.1 ,79.7  +- 13.3 ,76.8  +- 12.1 ,81.7  +- 14.3 ,58.0  +- 17.0 ,118632.5  +- 33237.6 ,93.4  +- 13.5 ,92.0  +- 14.5 ,98.8  +- 10.7 ,82.4  +- 19.0 ,70.2  +- 15.5 ,73.0  +- 26.4 ,90.8  +- 12.2 ,66.4  +- 36.4 ,49.1  +- 13.5 ,72.4  +- 40.0 ,49.1  +- 13.5 ,69.9  +- 16.8 ,85.6  +- 10.9 ,63.4  +- 35.2 ,81.0  +- 22.9 ,36.4  +- 20.6 ,86.6  +- 13.6 ,12427 +- 14269,5806 +- 6063
