,TotalSleepBlock,~F1,Accuracy,AccuracyBlock,Precision,TotalSleep,Recall,SEGTBlock,SESelfBlock,SEInterval,F1,SEMarkers,SEOnlyREST,F1Block,PercentSleep,RecallBlock,SEWholeDF,Specificity,~F1Block,PrecisionBlock,SESelfBlock5Min,PercentSleepBlock,SpecificityBlock,DeltaEndBlock,DeltaStartBlock
sazonov,85433.9  +- 23098.9 ,69.5  +- 14.2 ,75.2  +- 9.4 ,85.6  +- 15.4 ,79.9  +- 12.6 ,67464.2  +- 15723.8 ,75.5  +- 13.7 ,68.0  +- 14.3 ,70.6  +- 13.4 ,68.8  +- 12.1 ,76.7  +- 11.5 ,64.2  +- 14.9 ,71.3  +- 10.9 ,88.0  +- 18.1 ,54.9  +- 12.5 ,86.9  +- 20.0 ,55.0  +- 12.6 ,73.3  +- 15.6 ,72.3  +- 24.2 ,92.0  +- 16.4 ,96.8  +- 7.9 ,69.4  +- 17.6 ,85.8  +- 20.2 ,2915 +- 4593,2486 +- 3664
tl_sazonov,68478.8  +- 40592.1 ,66.0  +- 18.7 ,78.0  +- 10.2 ,71.6  +- 29.2 ,75.5  +- 12.4 ,86284.3  +- 18335.9 ,90.9  +- 12.9 ,85.9  +- 15.3 ,95.2  +- 9.0 ,87.3  +- 12.6 ,81.6  +- 11.4 ,82.0  +- 16.4 ,89.4  +- 10.9 ,68.5  +- 38.6 ,70.3  +- 14.7 ,68.0  +- 40.5 ,70.4  +- 14.7 ,57.4  +- 20.0 ,62.9  +- 28.0 ,77.8  +- 35.5 ,91.0  +- 18.7 ,55.9  +- 32.8 ,81.9  +- 22.7 ,9566 +- 12007,2480 +- 3028
resc_sazonov,42724.0  +- 32767.3 ,69.1  +- 13.8 ,68.1  +- 12.6 ,58.6  +- 27.3 ,87.8  +- 15.8 ,41721.2  +- 18777.9 ,51.2  +- 20.4 ,44.2  +- 19.6 ,71.3  +- 20.6 ,43.9  +- 17.8 ,62.3  +- 19.1 ,41.2  +- 18.9 ,45.6  +- 17.4 ,54.6  +- 34.3 ,34.0  +- 15.1 ,46.2  +- 34.9 ,34.0  +- 15.1 ,90.1  +- 12.4 ,55.5  +- 26.1 ,94.4  +- 20.6 ,98.0  +- 11.8 ,34.8  +- 26.5 ,97.9  +- 7.4 ,10855 +- 9664,4424 +- 4785
resc_tl_sazonov,62114.0  +- 35293.8 ,71.2  +- 17.0 ,78.8  +- 10.8 ,70.7  +- 27.1 ,79.9  +- 12.5 ,75380.7  +- 20913.7 ,83.7  +- 17.2 ,77.5  +- 19.3 ,94.2  +- 9.6 ,78.2  +- 17.1 ,80.4  +- 13.8 ,73.3  +- 20.0 ,80.7  +- 15.6 ,69.5  +- 33.8 ,61.5  +- 16.9 ,65.0  +- 36.1 ,61.5  +- 16.9 ,69.0  +- 19.5 ,62.9  +- 27.3 ,89.6  +- 24.7 ,98.5  +- 4.4 ,50.9  +- 28.8 ,90.7  +- 17.6 ,8664 +- 10824,2806 +- 3104
tl_resc_sazonov,69075.8  +- 40489.1 ,60.9  +- 19.1 ,75.7  +- 10.2 ,70.9  +- 29.1 ,73.0  +- 12.4 ,89338.0  +- 17946.6 ,90.9  +- 12.2 ,87.2  +- 14.3 ,96.2  +- 7.7 ,88.4  +- 11.8 ,80.2  +- 11.2 ,83.7  +- 15.3 ,89.9  +- 10.5 ,68.0  +- 38.7 ,72.8  +- 14.2 ,67.7  +- 40.6 ,72.8  +- 14.2 ,51.4  +- 20.0 ,61.6  +- 27.1 ,75.8  +- 36.4 ,87.7  +- 21.5 ,56.4  +- 32.8 ,80.2  +- 22.2 ,9813 +- 12032,2659 +- 3018
sazonov_max,151.8  +- 2892.0 ,57.6  +- 13.4 ,41.7  +- 13.2 ,25.3  +- 14.0 ,0.3  +- 4.9 ,151.8  +- 2892.0 ,0.2  +- 3.1 ,0.1  +- 2.8 ,0.3  +- 5.3 ,0.1  +- 2.8 ,0.2  +- 3.8 ,0.1  +- 2.6 ,0.1  +- 2.8 ,0.2  +- 3.7 ,0.1  +- 2.4 ,0.1  +- 2.8 ,0.1  +- 2.4 ,99.4  +- 7.4 ,38.4  +- 17.6 ,0.3  +- 5.2 ,0.3  +- 5.2 ,0.1  +- 2.4 ,100.0  +- 0.0 ,5682 +- 5019,4044 +- 3346
tl_sazonov_max,543.3  +- 7235.0 ,57.4  +- 13.9 ,42.0  +- 13.3 ,25.7  +- 14.6 ,0.5  +- 6.1 ,597.2  +- 7961.3 ,0.5  +- 7.4 ,0.5  +- 7.4 ,0.8  +- 9.2 ,0.6  +- 7.4 ,0.5  +- 6.7 ,0.5  +- 7.4 ,0.6  +- 7.4 ,0.5  +- 7.0 ,0.6  +- 7.4 ,0.5  +- 6.8 ,0.6  +- 7.4 ,98.9  +- 10.4 ,38.4  +- 17.5 ,0.5  +- 7.3 ,0.6  +- 7.4 ,0.5  +- 6.7 ,99.7  +- 5.1 ,5750 +- 5231,4053 +- 3339
resc_tl_sazonov_max,531.1  +- 7146.7 ,57.4  +- 13.9 ,42.0  +- 13.3 ,25.7  +- 14.6 ,0.5  +- 6.1 ,586.2  +- 7873.0 ,0.5  +- 7.3 ,0.5  +- 7.3 ,0.6  +- 7.4 ,0.5  +- 7.3 ,0.5  +- 6.7 ,0.5  +- 7.3 ,0.5  +- 7.3 ,0.5  +- 7.0 ,0.5  +- 7.3 ,0.5  +- 6.7 ,0.5  +- 7.3 ,98.9  +- 10.4 ,38.4  +- 17.5 ,0.5  +- 7.3 ,0.6  +- 7.4 ,0.5  +- 6.6 ,99.7  +- 5.1 ,5662 +- 4993,4055 +- 3337
sazonov2,78469.4  +- 28282.2 ,69.4  +- 13.9 ,72.8  +- 9.9 ,82.3  +- 20.0 ,82.3  +- 12.9 ,58011.0  +- 15841.2 ,66.9  +- 15.2 ,59.3  +- 15.3 ,65.1  +- 14.7 ,60.0  +- 13.0 ,72.7  +- 12.8 ,55.8  +- 15.4 ,62.4  +- 12.2 ,83.5  +- 24.8 ,47.3  +- 12.7 ,80.9  +- 26.8 ,47.3  +- 12.7 ,79.7  +- 14.7 ,70.8  +- 25.4 ,92.6  +- 17.4 ,97.7  +- 5.9 ,63.9  +- 22.4 ,89.1  +- 18.5 ,4130 +- 7046,2635 +- 3732
tl_sazonov2,62184.0  +- 40094.0 ,68.6  +- 16.2 ,77.0  +- 10.4 ,68.5  +- 29.9 ,77.6  +- 12.7 ,76551.8  +- 19572.3 ,83.0  +- 16.5 ,77.3  +- 17.9 ,90.9  +- 12.4 ,78.6  +- 15.2 ,79.1  +- 13.3 ,73.3  +- 18.7 ,80.9  +- 13.9 ,65.3  +- 38.6 ,62.4  +- 15.9 ,63.0  +- 40.5 ,62.4  +- 15.9 ,65.7  +- 18.3 ,61.4  +- 28.0 ,80.4  +- 34.4 ,92.8  +- 17.1 ,50.7  +- 32.5 ,86.1  +- 20.5 ,10471 +- 12004,2480 +- 2938
resc_sazonov2,23169.4  +- 24630.7 ,64.3  +- 13.7 ,58.1  +- 13.3 ,43.3  +- 23.3 ,89.5  +- 18.4 ,24555.6  +- 15209.2 ,30.9  +- 18.1 ,26.2  +- 16.3 ,70.8  +- 28.5 ,25.9  +- 15.0 ,43.4  +- 20.1 ,24.3  +- 15.3 ,27.0  +- 15.1 ,34.0  +- 29.5 ,20.0  +- 12.1 ,25.6  +- 27.7 ,20.0  +- 12.1 ,95.1  +- 10.1 ,46.2  +- 23.0 ,93.0  +- 24.3 ,95.8  +- 19.3 ,18.8  +- 19.9 ,99.1  +- 4.1 ,14293 +- 8502,6158 +- 6350
resc_tl_sazonov2,50397.5  +- 34207.7 ,71.5  +- 14.9 ,74.9  +- 12.4 ,63.3  +- 27.4 ,82.7  +- 14.8 ,60278.8  +- 22205.7 ,69.7  +- 21.7 ,62.8  +- 22.0 ,87.2  +- 16.5 ,63.2  +- 20.0 ,73.7  +- 17.8 ,59.1  +- 22.1 ,65.6  +- 19.1 ,60.9  +- 34.3 ,49.1  +- 18.1 ,53.7  +- 35.8 ,49.2  +- 18.1 ,79.5  +- 16.5 ,58.2  +- 26.6 ,93.3  +- 20.7 ,98.7  +- 7.6 ,41.1  +- 27.7 ,95.2  +- 11.9 ,10250 +- 10089,3505 +- 3589
tl_resc_sazonov2,63012.4  +- 40793.6 ,64.1  +- 16.9 ,75.1  +- 10.2 ,67.8  +- 29.8 ,74.5  +- 12.7 ,81327.5  +- 19274.1 ,84.6  +- 15.6 ,80.4  +- 16.9 ,94.0  +- 9.8 ,81.7  +- 14.1 ,78.3  +- 12.8 ,76.8  +- 17.7 ,83.3  +- 13.1 ,64.4  +- 39.1 ,66.3  +- 15.5 ,62.6  +- 40.9 ,66.3  +- 15.5 ,58.6  +- 18.8 ,60.0  +- 27.3 ,77.6  +- 36.0 ,89.0  +- 21.2 ,51.4  +- 33.0 ,83.6  +- 21.3 ,10767 +- 12156,2717 +- 2995
sazonov2_max,150.7  +- 2871.0 ,57.6  +- 13.4 ,41.7  +- 13.2 ,25.3  +- 14.0 ,0.3  +- 4.9 ,150.7  +- 2871.0 ,0.2  +- 3.1 ,0.1  +- 2.8 ,0.3  +- 5.3 ,0.1  +- 2.8 ,0.2  +- 3.8 ,0.1  +- 2.6 ,0.1  +- 2.8 ,0.2  +- 3.7 ,0.1  +- 2.4 ,0.1  +- 2.8 ,0.1  +- 2.4 ,99.4  +- 7.4 ,38.4  +- 17.6 ,0.3  +- 5.2 ,0.3  +- 5.2 ,0.1  +- 2.4 ,100.0  +- 0.0 ,5682 +- 5019,4045 +- 3346
tl_sazonov2_max,331.7  +- 5708.6 ,57.6  +- 13.3 ,41.9  +- 13.2 ,25.5  +- 14.3 ,0.4  +- 5.9 ,358.7  +- 5788.0 ,0.3  +- 4.9 ,0.3  +- 5.0 ,0.6  +- 7.4 ,0.3  +- 5.0 ,0.3  +- 5.2 ,0.3  +- 4.9 ,0.3  +- 5.0 ,0.3  +- 5.2 ,0.3  +- 4.8 ,0.3  +- 4.9 ,0.3  +- 4.9 ,99.2  +- 8.3 ,38.4  +- 17.5 ,0.6  +- 7.4 ,0.6  +- 7.4 ,0.3  +- 4.8 ,100.0  +- 0.0 ,5665 +- 4991,4087 +- 3432
resc_tl_sazonov2_max,320.7  +- 5612.5 ,57.6  +- 13.3 ,41.9  +- 13.2 ,25.5  +- 14.3 ,0.4  +- 6.1 ,347.7  +- 5681.8 ,0.3  +- 4.9 ,0.3  +- 4.9 ,0.6  +- 7.5 ,0.3  +- 4.9 ,0.3  +- 5.2 ,0.3  +- 4.8 ,0.3  +- 4.9 ,0.3  +- 5.1 ,0.3  +- 4.8 ,0.3  +- 4.8 ,0.3  +- 4.8 ,99.2  +- 8.2 ,38.4  +- 17.5 ,0.6  +- 7.4 ,0.6  +- 7.4 ,0.3  +- 4.7 ,100.0  +- 0.0 ,5666 +- 4990,4089 +- 3441
