,TotalSleepBlock,~F1,Accuracy,AccuracyBlock,Precision,TotalSleep,Recall,SEGTBlock,SESelfBlock,SEInterval,F1,SEMarkers,SEOnlyREST,F1Block,PercentSleep,RecallBlock,SEWholeDF,Specificity,~F1Block,PrecisionBlock,SESelfBlock5Min,PercentSleepBlock,SpecificityBlock,DeltaEndBlock,DeltaStartBlock
cole,103367.2  +- 17707.7 ,58.2  +- 17.6 ,75.4  +- 10.5 ,84.2  +- 12.5 ,71.1  +- 13.2 ,97431.1  +- 13426.1 ,96.7  +- 4.2 ,91.7  +- 6.5 ,88.6  +- 7.0 ,91.8  +- 5.3 ,81.2  +- 9.9 ,88.1  +- 8.9 ,93.5  +- 3.9 ,89.2  +- 11.7 ,79.2  +- 9.2 ,95.7  +- 10.5 ,79.2  +- 9.2 ,45.0  +- 17.6 ,57.9  +- 28.1 ,84.8  +- 15.1 ,93.5  +- 7.1 ,83.7  +- 11.1 ,55.6  +- 29.9 ,3066 +- 3642,2897 +- 3060
tl_cole,99894.5  +- 26426.1 ,43.7  +- 22.2 ,71.1  +- 12.0 ,80.9  +- 17.1 ,67.1  +- 13.4 ,106329.5  +- 14712.8 ,99.2  +- 2.4 ,97.6  +- 5.0 ,96.8  +- 4.2 ,97.6  +- 4.1 ,79.2  +- 10.4 ,94.8  +- 8.1 ,98.5  +- 2.0 ,84.8  +- 21.3 ,86.3  +- 9.6 ,91.5  +- 22.3 ,86.4  +- 9.6 ,31.0  +- 19.5 ,53.9  +- 28.0 ,80.7  +- 21.5 ,90.4  +- 14.4 ,81.1  +- 19.9 ,52.3  +- 30.0 ,4244 +- 7083,3438 +- 3214
resc_cole,81475.8  +- 32276.3 ,71.4  +- 15.9 ,80.2  +- 9.6 ,80.4  +- 23.1 ,78.9  +- 13.0 ,81820.4  +- 15309.2 ,89.9  +- 8.2 ,82.4  +- 11.5 ,86.2  +- 10.4 ,81.7  +- 9.9 ,83.3  +- 9.6 ,77.4  +- 13.0 ,83.9  +- 8.5 ,81.1  +- 29.2 ,66.6  +- 12.0 ,81.3  +- 31.1 ,66.6  +- 12.0 ,65.7  +- 19.0 ,67.1  +- 27.6 ,86.7  +- 24.5 ,96.8  +- 6.0 ,66.4  +- 25.7 ,79.9  +- 25.3 ,5434 +- 9061,2360 +- 2672
resc_tl_cole,90857.9  +- 30320.1 ,56.4  +- 21.4 ,75.5  +- 11.2 ,81.0  +- 20.6 ,71.2  +- 13.5 ,98495.9  +- 15660.3 ,97.4  +- 4.3 ,94.6  +- 7.8 ,96.0  +- 6.5 ,94.3  +- 7.1 ,81.5  +- 10.1 ,90.8  +- 10.9 ,95.7  +- 5.0 ,83.0  +- 26.3 ,80.0  +- 11.2 ,86.6  +- 27.7 ,80.1  +- 11.2 ,43.8  +- 21.3 ,62.1  +- 27.9 ,82.0  +- 25.8 ,93.7  +- 10.9 ,73.9  +- 23.5 ,67.1  +- 29.8 ,4838 +- 8500,2910 +- 2912
tl_resc_cole,100911.8  +- 25927.4 ,38.2  +- 22.3 ,69.2  +- 12.0 ,80.3  +- 17.1 ,65.7  +- 13.3 ,108545.7  +- 14577.3 ,99.1  +- 2.5 ,98.0  +- 4.5 ,97.7  +- 3.5 ,98.0  +- 3.6 ,78.2  +- 10.5 ,95.6  +- 7.3 ,98.5  +- 2.0 ,84.7  +- 20.8 ,88.1  +- 9.2 ,91.7  +- 21.7 ,88.2  +- 9.2 ,26.5  +- 18.8 ,52.4  +- 26.8 ,80.1  +- 21.4 ,89.1  +- 16.1 ,81.9  +- 19.2 ,50.1  +- 28.9 ,4490 +- 7003,3414 +- 3152
cole_max,231.4  +- 4408.9 ,57.6  +- 13.4 ,41.7  +- 13.2 ,25.2  +- 14.0 ,0.2  +- 3.1 ,231.4  +- 4408.9 ,0.3  +- 5.2 ,0.3  +- 5.3 ,0.3  +- 5.3 ,0.2  +- 4.0 ,0.2  +- 3.9 ,0.2  +- 4.4 ,0.2  +- 4.3 ,0.2  +- 4.0 ,0.1  +- 2.8 ,0.3  +- 5.2 ,0.1  +- 2.8 ,99.4  +- 7.6 ,38.3  +- 17.6 ,0.2  +- 3.2 ,0.3  +- 5.2 ,0.1  +- 2.8 ,99.9  +- 1.7 ,5606 +- 4897,4037 +- 3343
tl_cole_max,665.8  +- 7920.0 ,57.2  +- 14.1 ,41.8  +- 13.2 ,25.6  +- 14.6 ,0.4  +- 5.1 ,720.1  +- 8628.7 ,0.6  +- 7.4 ,0.6  +- 7.4 ,0.8  +- 9.1 ,0.6  +- 7.5 ,0.5  +- 6.0 ,0.6  +- 7.5 ,0.6  +- 7.5 ,0.5  +- 7.0 ,0.6  +- 7.5 ,0.5  +- 7.0 ,0.6  +- 7.5 ,98.8  +- 10.7 ,38.4  +- 17.7 ,0.6  +- 7.1 ,0.8  +- 8.7 ,0.6  +- 6.9 ,99.5  +- 5.9 ,5680 +- 5061,4052 +- 3340
resc_tl_cole_max,655.1  +- 7814.5 ,57.3  +- 13.9 ,41.8  +- 13.3 ,25.6  +- 14.7 ,0.4  +- 5.2 ,709.1  +- 8524.8 ,0.6  +- 7.4 ,0.6  +- 7.4 ,0.8  +- 9.1 ,0.6  +- 7.4 ,0.5  +- 6.1 ,0.6  +- 7.4 ,0.6  +- 7.4 ,0.5  +- 7.1 ,0.6  +- 7.4 ,0.5  +- 7.0 ,0.6  +- 7.4 ,98.8  +- 10.5 ,38.4  +- 17.8 ,0.6  +- 7.1 ,0.8  +- 8.9 ,0.6  +- 6.8 ,99.6  +- 5.7 ,5681 +- 5065,4050 +- 3342
aarti,87872.7  +- 21909.4 ,58.5  +- 21.5 ,75.0  +- 12.6 ,84.8  +- 14.8 ,71.2  +- 15.9 ,93697.0  +- 18921.0 ,93.8  +- 13.3 ,91.5  +- 14.7 ,98.5  +- 10.6 ,92.4  +- 12.4 ,80.1  +- 14.0 ,87.9  +- 15.5 ,93.3  +- 11.6 ,87.8  +- 17.0 ,76.2  +- 14.5 ,87.9  +- 18.9 ,76.3  +- 14.6 ,48.0  +- 22.3 ,69.9  +- 23.3 ,90.3  +- 16.0 ,93.7  +- 11.9 ,71.3  +- 16.5 ,81.2  +- 20.8 ,3111 +- 4105,2362 +- 2950
tl_aarti,70016.8  +- 42002.2 ,54.9  +- 21.4 ,73.2  +- 12.3 ,70.7  +- 28.7 ,69.9  +- 15.3 ,94872.7  +- 18854.8 ,93.0  +- 13.3 ,91.0  +- 14.6 ,100.0  +- 8.2 ,91.9  +- 12.4 ,78.9  +- 13.9 ,87.8  +- 15.1 ,92.5  +- 11.7 ,67.4  +- 39.7 ,77.2  +- 14.4 ,68.1  +- 40.8 ,77.2  +- 14.4 ,44.5  +- 21.8 ,60.3  +- 26.0 ,70.2  +- 39.2 ,85.0  +- 25.9 ,57.0  +- 33.8 ,79.5  +- 23.5 ,9854 +- 12595,3007 +- 3214
resc_aarti,83674.7  +- 22303.5 ,62.0  +- 19.4 ,75.6  +- 12.1 ,83.5  +- 15.5 ,72.6  +- 16.2 ,89057.3  +- 18700.6 ,90.9  +- 13.6 ,88.7  +- 15.1 ,98.6  +- 10.7 ,89.2  +- 13.0 ,79.9  +- 14.1 ,85.0  +- 16.0 ,90.1  +- 12.2 ,86.5  +- 17.9 ,72.4  +- 14.4 ,84.8  +- 19.8 ,72.5  +- 14.4 ,53.4  +- 21.5 ,69.3  +- 22.9 ,91.3  +- 16.1 ,94.8  +- 11.6 ,67.9  +- 17.0 ,84.9  +- 18.9 ,3124 +- 4568,2834 +- 2898
resc_tl_aarti,84013.2  +- 22208.8 ,58.8  +- 20.1 ,74.0  +- 12.0 ,82.7  +- 15.1 ,71.5  +- 15.6 ,90333.6  +- 18749.2 ,90.4  +- 13.7 ,88.4  +- 15.0 ,98.6  +- 10.7 ,89.0  +- 12.9 ,78.8  +- 14.0 ,85.1  +- 15.7 ,89.7  +- 12.2 ,85.9  +- 17.9 ,73.5  +- 14.4 ,84.4  +- 19.6 ,73.5  +- 14.4 ,50.0  +- 21.5 ,67.9  +- 22.2 ,90.6  +- 16.2 ,93.0  +- 13.8 ,68.2  +- 16.8 ,83.1  +- 19.4 ,3268 +- 4426,2981 +- 2907
tl_resc_aarti,69196.4  +- 42315.0 ,51.4  +- 21.3 ,71.6  +- 12.1 ,68.8  +- 29.2 ,68.6  +- 15.1 ,96024.2  +- 18790.4 ,92.3  +- 13.3 ,90.5  +- 14.5 ,99.8  +- 5.8 ,91.4  +- 12.4 ,77.7  +- 13.7 ,87.7  +- 14.8 ,91.8  +- 11.9 ,65.6  +- 40.1 ,78.1  +- 14.2 ,66.4  +- 41.3 ,78.1  +- 14.2 ,41.3  +- 21.3 ,58.1  +- 25.7 ,68.8  +- 39.5 ,84.5  +- 23.5 ,56.2  +- 33.9 ,76.9  +- 23.9 ,10405 +- 12666,3145 +- 3131
aarti_max,365.3  +- 6959.7 ,57.5  +- 13.6 ,41.8  +- 13.2 ,25.5  +- 14.4 ,0.2  +- 3.8 ,384.0  +- 7316.6 ,0.3  +- 5.2 ,0.3  +- 5.2 ,0.3  +- 5.3 ,0.3  +- 5.3 ,0.2  +- 4.4 ,0.3  +- 5.2 ,0.3  +- 5.3 ,0.3  +- 5.2 ,0.3  +- 5.1 ,0.3  +- 5.1 ,0.3  +- 5.1 ,99.2  +- 8.8 ,38.5  +- 17.7 ,0.3  +- 5.2 ,0.3  +- 4.9 ,0.3  +- 4.8 ,100.0  +- 0.0 ,5646 +- 5006,4054 +- 3339
tl_aarti_max,541.9  +- 7349.7 ,57.3  +- 13.9 ,41.7  +- 13.2 ,25.7  +- 14.5 ,0.3  +- 3.9 ,595.9  +- 8064.1 ,0.5  +- 6.7 ,0.5  +- 6.8 ,0.8  +- 9.2 ,0.5  +- 6.8 ,0.4  +- 4.9 ,0.5  +- 6.8 ,0.5  +- 6.8 ,0.5  +- 6.7 ,0.5  +- 6.8 ,0.5  +- 6.2 ,0.5  +- 6.8 ,98.9  +- 10.1 ,38.3  +- 17.6 ,0.5  +- 7.4 ,0.8  +- 8.7 ,0.5  +- 6.2 ,99.7  +- 4.8 ,5756 +- 5201,4068 +- 3335
resc_tl_aarti_max,529.8  +- 7279.7 ,57.3  +- 13.9 ,41.7  +- 13.2 ,25.7  +- 14.4 ,0.3  +- 3.9 ,584.8  +- 7992.2 ,0.5  +- 6.6 ,0.5  +- 6.7 ,0.6  +- 7.4 ,0.5  +- 6.7 ,0.4  +- 4.9 ,0.5  +- 6.7 ,0.5  +- 6.8 ,0.5  +- 6.6 ,0.5  +- 6.7 ,0.4  +- 6.1 ,0.5  +- 6.7 ,98.9  +- 10.0 ,38.3  +- 17.6 ,0.5  +- 7.4 ,0.5  +- 7.0 ,0.4  +- 6.1 ,99.7  +- 4.8 ,5666 +- 4989,4070 +- 3336
sadeh,105595.6  +- 16846.2 ,52.2  +- 18.8 ,73.4  +- 11.2 ,83.3  +- 11.9 ,69.1  +- 13.3 ,102174.4  +- 13580.7 ,98.3  +- 3.1 ,94.7  +- 5.4 ,91.5  +- 5.9 ,94.7  +- 4.4 ,80.3  +- 10.2 ,91.4  +- 8.0 ,96.1  +- 3.0 ,88.8  +- 10.7 ,83.0  +- 8.7 ,96.2  +- 9.0 ,83.0  +- 8.7 ,38.3  +- 17.6 ,53.8  +- 28.1 ,83.7  +- 14.4 ,92.9  +- 7.1 ,85.5  +- 9.8 ,49.8  +- 29.6 ,3071 +- 3420,3272 +- 3134
tl_sadeh,104331.1  +- 21700.2 ,38.7  +- 21.5 ,69.3  +- 12.2 ,81.6  +- 14.1 ,65.7  +- 13.4 ,108918.2  +- 14168.3 ,99.4  +- 1.8 ,98.3  +- 3.8 ,96.9  +- 3.9 ,98.2  +- 3.0 ,78.3  +- 10.5 ,95.8  +- 6.8 ,98.8  +- 1.6 ,86.6  +- 16.6 ,88.4  +- 8.5 ,94.3  +- 16.6 ,88.5  +- 8.5 ,26.6  +- 17.9 ,51.1  +- 27.3 ,81.2  +- 18.4 ,90.4  +- 13.3 ,84.6  +- 15.3 ,47.2  +- 28.6 ,3523 +- 5334,3660 +- 3249
resc_sadeh,86514.9  +- 30492.3 ,68.1  +- 17.2 ,79.1  +- 10.1 ,82.1  +- 20.7 ,76.5  +- 13.4 ,87196.4  +- 15283.2 ,92.8  +- 7.0 ,86.6  +- 10.4 ,89.0  +- 9.6 ,85.7  +- 9.1 ,83.1  +- 9.7 ,81.7  +- 12.3 ,87.7  +- 7.6 ,83.3  +- 26.8 ,70.9  +- 11.6 ,84.9  +- 28.4 ,71.0  +- 11.6 ,59.4  +- 19.8 ,66.7  +- 27.1 ,85.5  +- 24.8 ,96.0  +- 7.5 ,70.4  +- 24.0 ,75.6  +- 26.8 ,4684 +- 8247,2494 +- 2687
resc_tl_sadeh,95793.1  +- 26290.4 ,52.7  +- 21.8 ,74.0  +- 11.7 ,82.3  +- 17.4 ,69.9  +- 13.7 ,101026.4  +- 15257.1 ,98.0  +- 3.5 ,95.7  +- 6.5 ,96.1  +- 5.6 ,95.3  +- 6.0 ,80.7  +- 10.3 ,92.3  +- 9.7 ,96.4  +- 4.4 ,85.4  +- 22.0 ,82.1  +- 10.4 ,90.1  +- 23.0 ,82.1  +- 10.5 ,40.0  +- 21.0 ,60.4  +- 27.5 ,82.7  +- 22.7 ,93.8  +- 9.6 ,77.8  +- 19.8 ,62.2  +- 29.7 ,3972 +- 6859,3075 +- 2893
tl_resc_sadeh,105438.0  +- 21021.2 ,32.8  +- 21.3 ,67.4  +- 12.2 ,81.0  +- 14.1 ,64.3  +- 13.3 ,111225.3  +- 14011.9 ,99.4  +- 1.7 ,98.7  +- 3.3 ,97.6  +- 4.4 ,98.6  +- 2.6 ,77.2  +- 10.6 ,96.7  +- 6.1 ,99.0  +- 1.6 ,86.5  +- 15.8 ,90.3  +- 8.0 ,94.6  +- 15.6 ,90.3  +- 8.0 ,22.0  +- 17.0 ,49.4  +- 26.0 ,80.9  +- 17.5 ,89.9  +- 12.7 ,85.4  +- 14.3 ,44.9  +- 27.8 ,3793 +- 5272,3624 +- 3207
sadeh_max,295.3  +- 5626.5 ,57.6  +- 13.4 ,41.7  +- 13.2 ,25.4  +- 14.2 ,0.2  +- 3.6 ,319.3  +- 6083.2 ,0.2  +- 4.4 ,0.2  +- 4.3 ,0.3  +- 5.3 ,0.2  +- 4.6 ,0.2  +- 4.0 ,0.3  +- 5.2 ,0.3  +- 5.1 ,0.2  +- 4.6 ,0.2  +- 3.6 ,0.2  +- 4.0 ,0.2  +- 3.6 ,99.3  +- 7.9 ,38.4  +- 17.6 ,0.3  +- 5.2 ,0.3  +- 5.2 ,0.2  +- 3.4 ,100.0  +- 0.0 ,5655 +- 4998,4051 +- 3339
tl_sadeh_max,665.8  +- 7920.0 ,57.2  +- 14.1 ,41.8  +- 13.2 ,25.6  +- 14.6 ,0.4  +- 5.1 ,722.9  +- 8628.6 ,0.6  +- 7.4 ,0.6  +- 7.4 ,0.8  +- 9.1 ,0.6  +- 7.5 ,0.5  +- 6.0 ,0.6  +- 7.5 ,0.6  +- 7.5 ,0.5  +- 7.0 ,0.6  +- 7.5 ,0.5  +- 7.0 ,0.6  +- 7.5 ,98.8  +- 10.7 ,38.4  +- 17.7 ,0.6  +- 7.1 ,0.8  +- 8.7 ,0.6  +- 6.9 ,99.5  +- 5.9 ,5680 +- 5061,4052 +- 3340
resc_tl_sadeh_max,657.9  +- 7852.5 ,57.3  +- 14.0 ,41.8  +- 13.2 ,25.6  +- 14.7 ,0.4  +- 5.1 ,711.8  +- 8562.7 ,0.6  +- 7.4 ,0.6  +- 7.4 ,0.8  +- 9.1 ,0.6  +- 7.5 ,0.5  +- 6.1 ,0.6  +- 7.5 ,0.6  +- 7.5 ,0.5  +- 7.0 ,0.6  +- 7.5 ,0.5  +- 7.0 ,0.6  +- 7.5 ,98.8  +- 10.6 ,38.4  +- 17.7 ,0.5  +- 7.1 ,0.8  +- 8.9 ,0.6  +- 6.8 ,99.6  +- 5.8 ,5681 +- 5065,4051 +- 3341
oakley,92570.5  +- 19095.0 ,68.2  +- 15.0 ,77.5  +- 9.0 ,87.1  +- 12.3 ,76.8  +- 12.7 ,81145.5  +- 14307.5 ,87.2  +- 9.2 ,79.8  +- 10.7 ,79.8  +- 9.7 ,80.5  +- 8.7 ,81.0  +- 9.7 ,75.8  +- 12.2 ,82.9  +- 7.4 ,90.4  +- 12.9 ,66.0  +- 11.1 ,91.9  +- 14.1 ,66.1  +- 11.1 ,63.0  +- 16.9 ,71.0  +- 24.8 ,90.5  +- 14.4 ,96.1  +- 4.9 ,75.2  +- 13.7 ,78.2  +- 24.4 ,2777 +- 3748,2118 +- 3113
